Index,created_at,_id,author.location,geo.place.country,in_reply_to_user.location,country,latitude,longitude
124,2023-02-24T07:59:00.000Z,1.63E+18,"Mersin, Türkiye",undefined,undefined,Turkey,38.9597594,34.9249653
125,2023-02-24T07:58:59.000Z,1.63E+18,"İstanbul, Türkiye",undefined,undefined,İstanbul,41.0091982,28.9662187
126,2023-02-24T07:58:59.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
127,2023-02-24T07:58:54.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
128,2023-02-24T07:58:50.000Z,1.63E+18,السعودية_,undefined,undefined,NA,-23.2335499,17.3231107
129,2023-02-24T07:58:50.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
130,2023-02-24T07:58:48.000Z,1.63E+18,undefined,undefined,"England, United Kingdom",NA,-23.2335499,17.3231107
131,2023-02-24T07:58:42.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
132,2023-02-24T07:58:35.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
133,2023-02-24T07:58:34.000Z,1.63E+18,Vienna,undefined,undefined,Austria,47.59397,14.12456
134,2023-02-24T07:58:33.000Z,1.63E+18,Türkiye,undefined,undefined,Turkey,38.9597594,34.9249653
135,2023-02-24T07:58:32.000Z,1.63E+18,Hatay,undefined,undefined,Turkey,38.9597594,34.9249653
136,2023-02-24T07:58:32.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
137,2023-02-24T07:58:27.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
138,2023-02-24T07:58:27.000Z,1.63E+18,Türkiye,undefined,undefined,Turkey,38.9597594,34.9249653
139,2023-02-24T07:58:27.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
140,2023-02-24T07:58:25.000Z,1.63E+18,"Denizli, Türkiye",undefined,undefined,Turkey,38.9597594,34.9249653
141,2023-02-24T07:58:20.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
142,2023-02-24T07:58:19.000Z,1.63E+18,"Ankara, Türkiye",undefined,undefined,Turkey,38.9597594,34.9249653
143,2023-02-24T07:58:16.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
144,2023-02-24T07:58:14.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
145,2023-02-24T07:58:10.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
146,2023-02-24T07:58:10.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
147,2023-02-24T07:58:09.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
148,2023-02-24T07:58:08.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
149,2023-02-24T07:58:07.000Z,1.63E+18,İnternet,undefined,undefined,İnternet,5.56576695,-73.1852365
150,2023-02-24T07:58:06.000Z,1.63E+18,Ireland,Syria,undefined,Ireland,52.865196,-7.9794599
151,2023-02-24T07:58:06.000Z,1.63E+18,İstanbul,undefined,undefined,İstanbul,41.0091982,28.9662187
152,2023-02-24T07:58:05.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
153,2023-02-24T07:58:05.000Z,1.63E+18,İnternet,undefined,undefined,İnternet,5.56576695,-73.1852365
154,2023-02-24T07:58:04.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
155,2023-02-24T07:58:01.000Z,1.63E+18,Amsterdam,undefined,undefined,Netherlands,52.2434979,5.6343227
156,2023-02-24T07:57:50.000Z,1.63E+18,"Karamürsel, Türkiye",undefined,undefined,Turkey,38.9597594,34.9249653
157,2023-02-24T07:57:49.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
158,2023-02-24T07:57:47.000Z,1.63E+18,"Bornova, İzmir",undefined,undefined,Bornova,38.4660651,27.2190721
159,2023-02-24T07:57:46.000Z,1.63E+18,JAPAN,undefined,Global South ,Japan,36.5748441,139.2394179
160,2023-02-24T07:57:45.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
161,2023-02-24T07:57:37.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
162,2023-02-24T07:57:31.000Z,1.63E+18,"İstanbul, Türkiye",undefined,undefined,İstanbul,41.0091982,28.9662187
163,2023-02-24T07:57:31.000Z,1.63E+18,puerto varas,undefined,undefined,NA,-23.2335499,17.3231107
164,2023-02-24T07:57:30.000Z,1.63E+18,"Abuja, Nigeria",undefined,undefined,Nigeria,9.6000359,7.9999721
165,2023-02-24T07:57:29.000Z,1.63E+18,"İzmir, Türkiye",undefined,undefined,Turkey,38.9597594,34.9249653
166,2023-02-24T07:57:29.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
167,2023-02-24T07:57:29.000Z,1.63E+18,"İstanbul, Türkiye",undefined,undefined,İstanbul,41.0091982,28.9662187
168,2023-02-24T07:57:28.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
169,2023-02-24T07:57:26.000Z,1.63E+18,İnternet,undefined,undefined,İnternet,5.56576695,-73.1852365
170,2023-02-24T07:57:24.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
171,2023-02-24T07:57:21.000Z,1.63E+18,"Kadirli, Osmaniye",undefined,undefined,Turkey,38.9597594,34.9249653
172,2023-02-24T07:57:20.000Z,1.63E+18,İnternet,undefined,undefined,İnternet,5.56576695,-73.1852365
173,2023-02-24T07:57:19.000Z,1.63E+18,"Adana, Türkiye",undefined,undefined,Turkey,38.9597594,34.9249653
174,2023-02-24T07:57:17.000Z,1.63E+18,"Kadirli, Osmaniye",undefined,undefined,Turkey,38.9597594,34.9249653
175,2023-02-24T07:57:16.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
176,2023-02-24T07:57:14.000Z,1.63E+18,İnternet,undefined,undefined,İnternet,5.56576695,-73.1852365
177,2023-02-24T07:57:12.000Z,1.63E+18,London,undefined,undefined,United Kingdom,54.7023545,-3.2765753
178,2023-02-24T07:57:11.000Z,1.63E+18,"İzmir, Türkiye",undefined,undefined,Turkey,38.9597594,34.9249653
179,2023-02-24T07:57:08.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
180,2023-02-24T07:57:07.000Z,1.63E+18,İnternet,undefined,undefined,İnternet,5.56576695,-73.1852365
181,2023-02-24T07:57:06.000Z,1.63E+18,Dünya,undefined,undefined,Dünya,41.45818,25.0364435
182,2023-02-24T07:57:03.000Z,1.63E+18,"Bornheim FFM, Deutschland",undefined,undefined,Germany,51.1638175,10.4478313
183,2023-02-24T07:57:00.000Z,1.63E+18,QueenslandO,undefined,undefined,QueenslandO,-23.2335499,17.3231107
184,2023-02-24T07:56:59.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
185,2023-02-24T07:56:59.000Z,1.63E+18,undefined,undefined,undefined,NA,38.9597594,34.9249653
186,2023-02-24T07:56:56.000Z,1.63E+18,QueenslandO,undefined,undefined,QueenslandO,-23.2335499,17.3231107
187,2023-02-24T07:56:52.000Z,1.63E+18,"Kadirli, Osmaniye",undefined,undefined,Turkey,38.9597594,34.9249653
188,2023-02-24T07:56:50.000Z,1.63E+18,undefined,undefined,undefined,NA,38.9597594,34.9249653
189,2023-02-24T07:56:49.000Z,1.63E+18,"Ankara, Türkiye",Syria,"Ankara, Türkiye",Turkey,38.9597594,34.9249653
190,2023-02-24T07:56:43.000Z,1.63E+18,"Pendik, İstanbul",undefined,undefined,Turkey,-23.2335499,17.3231107
191,2023-02-24T07:56:43.000Z,1.63E+18,Konya ve Hatay - Türkiye,undefined,undefined,Turkey,40.3936294,47.7872508
192,2023-02-24T07:56:42.000Z,1.63E+18,undefined,undefined,"İstanbul, Türkiye",NA,41.0091982,28.9662187
193,2023-02-24T07:56:40.000Z,1.63E+18,Azerbaijan,undefined,undefined,Azerbaijan,-23.2335499,17.3231107
194,2023-02-24T07:56:40.000Z,1.63E+18,İstanbul,Turkey,undefined,İstanbul,5.56576695,-73.1852365
195,2023-02-24T07:56:40.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
196,2023-02-24T07:56:38.000Z,1.63E+18,İnternet,undefined,undefined,İnternet,38.9597594,34.9249653
197,2023-02-24T07:56:36.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
198,2023-02-24T07:56:35.000Z,1.63E+18,Aydın ,undefined,undefined,Turkey,-23.2335499,17.3231107
199,2023-02-24T07:56:34.000Z,1.63E+18,undefined,undefined,undefined,NA,42.6073975,25.4856617
200,2023-02-24T07:56:30.000Z,1.63E+18,undefined,undefined,undefined,NA,-24.7761086,134.755
201,2023-02-24T07:56:30.000Z,1.63E+18,Bulgaria,undefined,undefined,Bulgaria,39.3260685,-4.8379791
202,2023-02-24T07:56:28.000Z,1.63E+18,Australia,undefined,undefined,Australia,5.56576695,-73.1852365
203,2023-02-24T07:56:26.000Z,1.63E+18,Barcelona,undefined,undefined,Spain,-23.2335499,17.3231107
204,2023-02-24T07:56:24.000Z,1.63E+18,İnternet,undefined,undefined,İnternet,5.56576695,-73.1852365
205,2023-02-24T07:56:19.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
206,2023-02-24T07:56:16.000Z,1.63E+18,İnternet,undefined,undefined,İnternet,8.0300284,-1.0800271
207,2023-02-24T07:56:13.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
208,2023-02-24T07:56:12.000Z,1.63E+18,GHANA,undefined,undefined,Ghana,5.56576695,-73.1852365
209,2023-02-24T07:56:12.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
210,2023-02-24T07:56:10.000Z,1.63E+18,İnternet,undefined,undefined,İnternet,-23.2335499,17.3231107
